house_type,house_size,city,latitude,longitude,price,currency,numBathrooms,numBalconies,Status
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
4 BHK Independent Floor ,"2,700 sq ft",Delhi,28.55195999,77.23581696,150000,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"1,872 sq ft",Delhi,28.55195999,77.23581696,100000,INR,3.0,,Semi-Furnished
4 BHK Independent Floor ,"3,000 sq ft",Delhi,28.54306221,77.21394348,150000,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"2,700 sq ft",Delhi,28.56470108,77.19415283,150000,INR,3.0,,Furnished
1 BHK Apartment ,550 sq ft,Delhi,28.60093117,77.03224945,25000,INR,1.0,,Furnished
3 BHK Apartment ,"2,200 sq ft",Delhi,28.59317017,77.0355072,48000,INR,3.0,,Semi-Furnished
3 BHK Apartment ,"1,600 sq ft",Delhi,28.58750153,77.06712341,34000,INR,2.0,,Semi-Furnished
3 BHK Apartment ,"1,600 sq ft",Delhi,28.58750153,77.06712341,33600,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.69610023,77.12569427,55000,INR,3.0,,Unfurnished
2 BHK Independent Floor ,720 sq ft,Delhi,28.62119293,77.09102631,30000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.60982704,77.10020447,42000,INR,2.0,,Semi-Furnished
1 BHK Independent Floor ,495 sq ft,Delhi,28.62897873,77.08043671,18000,INR,1.0,,Furnished
2 BHK Independent Floor ,540 sq ft,Delhi,28.61527824,77.07889557,20000,INR,1.0,,Furnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.52850342,77.25166321,11000,INR,1.0,,Semi-Furnished
2 BHK Independent Floor ,500 sq ft,Delhi,28.53482056,77.25739288,15000,INR,1.0,,Furnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.60906982,77.08935547,10000,INR,1.0,,Semi-Furnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.60726929,77.08944702,9000,INR,1.0,,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Delhi,28.60993385,77.09203339,22000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,900 sq ft,Delhi,28.60726929,77.08944702,13000,INR,2.0,,Unfurnished
2 BHK Independent Floor ,450 sq ft,Delhi,28.60993385,77.09203339,10500,INR,1.0,,Semi-Furnished
1 BHK Independent Floor ,360 sq ft,Delhi,28.61255646,77.08008575,8000,INR,1.0,,Semi-Furnished
2 BHK Independent Floor ,630 sq ft,Delhi,28.60668373,77.0828476,13000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,630 sq ft,Delhi,28.60668373,77.0828476,13000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Delhi,28.60993385,77.09203339,21000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,945 sq ft,Delhi,28.60982704,77.10020447,16000,INR,1.0,,Unfurnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.60990334,77.07619476,9000,INR,1.0,,Semi-Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.62119293,77.09102631,35000,INR,3.0,,Semi-Furnished
2 BHK Independent Floor ,900 sq ft,Delhi,28.60726929,77.08944702,14000,INR,2.0,,Unfurnished
1 BHK Independent Floor ,390 sq ft,Delhi,28.60993385,77.09203339,8000,INR,1.0,,Unfurnished
2 BHK Independent Floor ,765 sq ft,Delhi,28.60354996,77.08726501,12000,INR,2.0,,Semi-Furnished
1 BHK Independent Floor ,360 sq ft,Delhi,28.60726929,77.08944702,8500,INR,1.0,,Semi-Furnished
3 BHK Independent Floor ,"1,890 sq ft",Delhi,28.60982704,77.10020447,52000,INR,3.0,,Semi-Furnished
2 BHK Independent Floor ,"1,350 sq ft",Delhi,28.62119293,77.09102631,30000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.62897873,77.08043671,50000,INR,3.0,,Semi-Furnished
2 BHK Independent Floor ,745 sq ft,Delhi,28.61173439,77.08657074,14000,INR,2.0,,Unfurnished
3 BHK Independent Floor ,"2,025 sq ft",Delhi,28.62119293,77.09102631,40000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.62897873,77.08043671,43000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,990 sq ft,Delhi,28.61173439,77.08657074,19000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,485 sq ft",Delhi,28.62119293,77.09102631,42000,INR,3.0,,Semi-Furnished
1 BHK Independent Floor ,540 sq ft,Delhi,28.61802292,77.07226562,10000,INR,1.0,,Semi-Furnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.60993385,77.09203339,9000,INR,1.0,,Semi-Furnished
2 BHK Independent Floor ,816 sq ft,Delhi,28.62119293,77.09102631,32000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,816 sq ft,Delhi,28.62119293,77.09102631,32000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Delhi,28.60993385,77.09203339,22000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.60977364,77.0915451,21000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,720 sq ft,Delhi,28.62119293,77.09102631,30000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.62119293,77.09102631,43000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"1,080 sq ft",Delhi,28.60993385,77.09203339,23000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.62119293,77.09102631,40000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,675 sq ft,Delhi,28.60906982,77.08935547,12000,INR,1.0,,Semi-Furnished
2 BHK Apartment ,720 sq ft,Delhi,28.58540726,77.04299927,28000,INR,1.0,,Furnished
2 BHK Apartment ,720 sq ft,Delhi,28.57053947,77.07099152,22000,INR,2.0,,Semi-Furnished
4 BHK Apartment ,"2,400 sq ft",Delhi,28.56310081,77.05092621,50000,INR,4.0,,Semi-Furnished
3 BHK Apartment ,"1,700 sq ft",Delhi,28.59773827,77.0566864,40000,INR,3.0,,Semi-Furnished
3 BHK Apartment ,"1,750 sq ft",Delhi,28.58954048,77.04999542,42000,INR,3.0,,Semi-Furnished
4 BHK Apartment ,"2,400 sq ft",Delhi,28.60176086,77.04917145,40000,INR,4.0,,Semi-Furnished
3 BHK Apartment ,"1,700 sq ft",Delhi,28.58725357,77.03544617,40000,INR,2.0,,Semi-Furnished
2 BHK Apartment ,"1,200 sq ft",Delhi,28.60261345,77.03928375,36000,INR,2.0,,Furnished
4 BHK Independent Floor ,"1,500 sq ft",Delhi,28.68982697,77.19462585,39000,INR,3.0,,Semi-Furnished
2 BHK Apartment ,720 sq ft,Delhi,28.57625961,77.04273224,30000,INR,2.0,,Furnished
1 BHK Independent Floor ,500 sq ft,Delhi,28.53482056,77.25739288,11500,INR,1.0,,Unfurnished
2 BHK Apartment ,"1,200 sq ft",Delhi,28.65725327,77.09198761,32000,INR,2.0,,Furnished
2 BHK Apartment ,"1,200 sq ft",Delhi,28.65725327,77.09198761,32000,INR,2.0,,Furnished
1 BHK Independent Floor ,500 sq ft,Delhi,28.53482056,77.25739288,11500,INR,1.0,,Unfurnished
4 BHK Independent Floor ,"1,500 sq ft",Delhi,28.68982697,77.19462585,39000,INR,3.0,,Semi-Furnished
4 BHK Apartment ,"2,200 sq ft",Delhi,28.52632713,77.15073395,110000,INR,4.0,,Furnished
1 BHK Apartment ,650 sq ft,Delhi,28.52456093,77.14914703,26000,INR,2.0,,Furnished
4 BHK Apartment ,"1,800 sq ft",Delhi,28.52632713,77.15073395,85000,INR,4.0,,Semi-Furnished
4 BHK Apartment ,"1,900 sq ft",Delhi,28.51709366,77.15979767,80000,INR,3.0,,Semi-Furnished
4 BHK Apartment ,"2,100 sq ft",Delhi,28.52384567,77.16378784,90000,INR,4.0,,Semi-Furnished
3 BHK Apartment ,"1,710 sq ft",Delhi,28.53014183,77.15651703,53000,INR,2.0,,Semi-Furnished
3 BHK Apartment ,"1,625 sq ft",Delhi,28.52645111,77.15715027,55000,INR,2.0,,Semi-Furnished
3 BHK Apartment ,"1,700 sq ft",Delhi,28.52456093,77.14914703,55000,INR,2.0,,Semi-Furnished
3 BHK Apartment ,"1,600 sq ft",Delhi,28.52632713,77.15073395,60000,INR,2.0,,Furnished
1 BHK Apartment ,650 sq ft,Delhi,28.52456093,77.14914703,26000,INR,2.0,,Furnished
3 BHK Apartment ,"1,700 sq ft",Delhi,28.52632713,77.15073395,60000,INR,2.0,,Furnished
3 BHK Apartment ,"1,650 sq ft",Delhi,28.52456093,77.14914703,65000,INR,2.0,,Furnished
1 BHK Independent Floor ,600 sq ft,Delhi,28.53482056,77.25739288,23000,INR,1.0,,Furnished
3 BHK Independent Floor ,"1,500 sq ft",Delhi,28.55016518,77.19645691,75000,INR,2.0,,Semi-Furnished
4 BHK Independent Floor ,"2,800 sq ft",Delhi,28.55844879,77.20293427,145000,INR,4.0,,Semi-Furnished
2 BHK Independent Floor ,"1,500 sq ft",Delhi,28.55844879,77.20293427,50000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Delhi,28.56470108,77.19415283,90000,INR,3.0,,Furnished
4 BHK Independent Floor ,"4,500 sq ft",Delhi,28.54306221,77.21394348,200500,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.56470108,77.19415283,83500,INR,3.0,,Semi-Furnished
